Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
34.061981760,0,1,0,1,0,0,0,0
34.062003520,0,1,0,1,0,0,1,0
34.062008960,0,0,0,0,0,0,1,0
34.062026080,0,0,0,0,0,0,0,0
34.062030560,0,1,0,1,0,0,0,0
34.062031040,0,1,1,1,0,0,0,0
34.062031200,0,1,0,1,0,0,0,0
34.062053440,0,1,0,1,0,0,1,0
34.062058880,0,0,0,0,0,0,1,0
34.062076000,0,0,0,0,0,0,0,0
34.062080480,0,1,0,1,0,0,0,0
34.062103360,0,1,0,1,0,0,1,0
34.062108800,0,0,0,0,0,0,1,0
34.062125920,0,0,0,0,0,0,0,0
34.062130400,0,1,0,1,0,0,0,0
34.062153280,0,1,0,1,0,0,1,0
34.062158720,0,0,0,0,0,0,1,0
34.062175840,0,0,0,0,0,0,0,0
34.062180320,0,1,0,1,0,0,0,0
34.062203200,0,1,0,1,0,0,1,0
34.062208640,0,0,0,0,0,0,1,0
34.062225760,0,0,0,0,0,0,0,0
34.062230240,0,1,0,1,0,0,0,0
34.062253120,0,1,0,1,0,0,1,0
34.062258560,0,0,0,0,0,0,1,0
34.062275680,0,0,0,0,0,0,0,0
34.062280160,0,1,0,1,0,0,0,0
34.062303040,0,1,0,1,0,0,1,0
34.062308480,0,0,0,0,0,0,1,0
34.062325600,0,0,0,0,0,0,0,0
34.062330080,0,1,0,1,0,0,0,0
34.062352960,0,1,0,1,0,0,1,0
34.062358400,0,0,0,0,0,0,1,0
34.062375520,0,0,0,0,0,0,0,0
34.062380000,0,1,0,1,0,0,0,0
34.062402880,0,1,0,1,0,0,1,0
34.062408320,0,0,0,0,0,0,1,0
34.062425440,0,0,0,0,0,0,0,0
34.062429920,0,1,0,1,0,0,0,0
34.062452800,0,1,0,1,0,0,1,0
34.062458240,0,0,0,0,0,0,1,0
34.062475360,0,0,0,0,0,0,0,0
34.062479840,0,1,0,1,0,0,0,0
34.062502720,0,1,0,1,0,0,1,0
34.062508160,0,0,0,0,0,0,1,0
